date,region_name,region_code,confirmed,dead,icu,hospitalized,recovered
2020-03-24,France,FRA,22302,1100,NA,NA,NA
2020-03-24,France,FRA,22300,1100,2516,10176,3281
2020-03-23,France,FRA,19856,860,2082,8675,NA
2020-03-23,France,FRA,19856,860,2082,8675,NA
2020-03-23,France,FRA,NA,860,2080,8673,2567
2020-03-22,France,FRA,16689,674,1746,7240,NA
2020-03-22,France,FRA,16689,674,1746,7240,2200
2020-03-22,France,FRA,NA,632,1674,6954,2117
2020-03-21,France,FRA,14459,562,1525,6172,NA
2020-03-21,France,FRA,14459,562,1525,6172,NA
2020-03-21,France,FRA,NA,525,1453,5900,1811
2020-03-20,France,FRA,12612,450,1297,5226,NA
2020-03-20,France,FRA,12612,450,1297,5226,1587
2020-03-20,France,FRA,NA,450,1297,5226,1587
2020-03-19,France,FRA,10995,372,NA,NA,NA
2020-03-19,France,FRA,10995,372,1122,4461,1300
2020-03-19,France,FRA,NA,327,1002,4073,1180
2020-03-18,France,FRA,9134,244,NA,NA,NA
2020-03-18,France,FRA,9134,264,931,3626,1000
2020-03-18,France,FRA,NA,218,771,2972,816
2020-03-17,France,FRA,7730,175,NA,NA,NA
2020-03-17,France,FRA,7730,175,699,2579,602
2020-03-16,France,FRA,6633,148,NA,NA,NA
2020-03-15,France,FRA,5423,127,NA,NA,NA
2020-03-15,France,FRA,5423,127,NA,400,NA
2020-03-14,France,FRA,4499,91,NA,NA,NA
2020-03-14,France,FRA,4500,91,300,NA,NA
2020-03-13,France,FRA,3661,79,NA,NA,NA
2020-03-12,France,FRA,2876,61,NA,NA,NA
2020-03-12,France,FRA,2876,61,129,NA,NA
2020-03-11,France,FRA,2281,48,NA,NA,NA
2020-03-11,France,FRA,2281,48,105,NA,NA
2020-03-10,France,FRA,1784,33,NA,NA,NA
2020-03-10,France,FRA,1784,33,86,NA,NA
2020-03-09,France,FRA,1412,30,NA,NA,NA
2020-03-09,France,FRA,1412,25,66,NA,NA
2020-03-08,France,FRA,1126,19,NA,NA,NA
2020-03-07,France,FRA,949,11,45,NA,NA
2020-03-07,France,FRA,949,16,45,NA,NA
2020-03-06,France,FRA,613,9,39,NA,NA
2020-03-06,France,FRA,613,9,39,NA,NA
2020-03-05,France,FRA,423,5,23,NA,NA
2020-03-05,France,FRA,423,7,23,NA,NA
2020-03-04,France,FRA,285,4,15,NA,NA
2020-03-04,France,FRA,285,4,15,NA,NA
2020-03-03,France,FRA,212,4,NA,NA,NA
2020-03-03,France,FRA,212,4,NA,NA,12
2020-03-02,France,FRA,178,3,NA,NA,NA
2020-03-02,France,FRA,191,3,NA,NA,NA
2020-03-01,France,FRA,130,2,9,116,12
2020-02-29,France,FRA,73,2,NA,NA,NA
2020-02-29,France,FRA,100,2,9,86,12
2020-02-28,France,FRA,38,2,NA,NA,NA
2020-02-28,France,FRA,57,NA,NA,NA,NA
2020-02-27,France,FRA,38,2,2,24,12
2020-02-26,France,FRA,17,2,NA,NA,NA
2020-02-26,France,FRA,18,2,NA,4,12
2020-02-25,France,FRA,14,1,NA,2,11
2020-02-24,France,FRA,12,1,NA,NA,11
2020-02-23,France,FRA,12,1,NA,1,10
2020-02-21,France,FRA,12,1,NA,1,10
2020-02-20,France,FRA,12,1,NA,11,NA
2020-02-19,France,FRA,12,1,NA,4,7
2020-02-17,France,FRA,12,1,NA,NA,NA
2020-02-15,France,FRA,12,1,NA,7,4
2020-02-13,France,FRA,11,0,1,8,3
2020-02-12,France,FRA,11,0,NA,11,NA
2020-02-12,France,FRA,11,0,1,9,2
2020-02-11,France,FRA,11,0,NA,11,NA
2020-02-10,France,FRA,11,0,NA,11,NA
2020-02-10,France,FRA,11,0,1,11,0
2020-02-09,France,FRA,11,0,1,11,0
2020-02-08,France,FRA,11,0,NA,11,NA
2020-02-08,France,FRA,11,0,1,11,0
2020-02-07,France,FRA,11,0,NA,11,NA
2020-02-07,France,FRA,6,0,1,6,0
2020-02-06,France,FRA,6,0,NA,6,NA
2020-02-05,France,FRA,6,0,NA,6,NA
2020-02-05,France,FRA,6,0,1,6,0
2020-02-04,France,FRA,6,0,1,6,0
2020-02-03,France,FRA,6,0,NA,6,NA
2020-02-03,France,FRA,6,0,1,6,0
2020-02-02,France,FRA,6,0,1,6,0
2020-01-31,France,FRA,6,0,NA,6,NA
2020-01-31,France,FRA,6,0,2,6,0
2020-01-30,France,FRA,6,0,NA,6,NA
2020-01-30,France,FRA,6,0,2,6,0
2020-01-29,France,FRA,5,0,NA,5,NA
2020-01-29,France,FRA,5,0,2,5,0
2020-01-28,France,FRA,4,0,NA,4,NA
2020-01-28,France,FRA,4,0,1,4,0
2020-01-27,France,FRA,3,0,NA,NA,NA
2020-01-27,France,FRA,3,0,0,3,0
2020-01-26,France,FRA,3,NA,NA,NA,NA
2020-01-25,France,FRA,3,NA,NA,NA,NA
2020-01-24,France,FRA,3,0,NA,3,NA
2020-01-24,France,FRA,3,0,NA,3,NA
